#	Type	Teff	logg	A_J_2MASS_1	A_J_2MASS_2	A_H_2MASS_1	A_H_2MASS_2	A_Ks_2MASS_1	A_Ks_2MASS_2	A_U_Bessell_1	A_U_Bessell_2	A_B_Bessell_1	A_B_Bessell_2	A_V_Bessell_1	A_V_Bessell_2	A_R_Bessell_1	A_R_Bessell_2	A_I_Bessell_1	A_I_Bessell_2	A_U_Bessell_noatmccd_1	A_U_Bessell_noatmccd_2	A_B_Bessell_noatmccd_1	A_B_Bessell_noatmccd_2	A_V_Bessell_noatmccd_1	A_V_Bessell_noatmccd_2	A_R_Bessell_noatmccd_1	A_R_Bessell_noatmccd_2	A_I_Bessell_noatmccd_1	A_I_Bessell_noatmccd_2	A_G_Gaia_1	A_G_Gaia_2	A_U_INT_1	A_U_INT_2	A_g_INT_1	A_g_INT_2	A_r_INT_1	A_r_INT_2	A_i_INT_1	A_i_INT_2	A_Ha_INT_1	A_Ha_INT_2	A_g_PANSTARRS_1	A_g_PANSTARRS_2	A_r_PANSTARRS_1	A_r_PANSTARRS_2	A_i_PANSTARRS_1	A_i_PANSTARRS_2	A_z_PANSTARRS_1	A_z_PANSTARRS_2	A_y_PANSTARRS_1	A_y_PANSTARRS_2	A_w_PANSTARRS_1	A_w_PANSTARRS_2	A_u_SDSS_1	A_u_SDSS_2	A_g_SDSS_1	A_g_SDSS_2	A_r_SDSS_1	A_r_SDSS_2	A_i_SDSS_1	A_i_SDSS_2	A_z_SDSS_1	A_z_SDSS_2	A_u_Skymapper_1	A_u_Skymapper_2	A_v_Skymapper_1	A_v_Skymapper_2	A_g_Skymapper_1	A_g_Skymapper_2	A_r_Skymapper_1	A_r_Skymapper_2	A_i_Skymapper_1	A_i_Skymapper_2	A_z_Skymapper_1	A_z_Skymapper_2	A_u_Stromgren_1	A_u_Stromgren_2	A_b_Stromgren_1	A_b_Stromgren_2	A_v_Stromgren_1	A_v_Stromgren_2	A_y_Stromgren_1	A_y_Stromgren_2	A_Hbn_Stromgren_1	A_Hbn_Stromgren_2	A_Hbw_Stromgren_1	A_Hbw_Stromgren_2	A_Z_UKIDSS_1	A_Z_UKIDSS_2	A_Y_UKIDSS_1	A_Y_UKIDSS_2	A_J_UKIDSS_1	A_J_UKIDSS_2	A_H_UKIDSS_1	A_H_UKIDSS_2	A_K_UKIDSS_1	A_K_UKIDSS_2	A_Z_VISTA_1	A_Z_VISTA_2	A_Y_VISTA_1	A_Y_VISTA_2	A_J_VISTA_1	A_J_VISTA_2	A_H_VISTA_1	A_H_VISTA_2	A_Ks_VISTA_1	A_Ks_VISTA_2	A_u_VST_1	A_u_VST_2	A_g_VST_1	A_g_VST_2	A_r_VST_1	A_r_VST_2	A_i_VST_1	A_i_VST_2	A_Ha_VST_1	A_Ha_VST_2
Rayleigh-Jeans	inf	inf	0.20084	-0.00018562	0.11753	-4.8272E-05	0.071086	-1.311E-05	1.0706	-0.00079094	0.92907	-0.0022903	0.72865	-0.0015441	0.59314	-0.0025032	0.43164	-0.00061773	1.0838	-0.00090084	0.93561	-0.0023289	0.72845	-0.001557	0.58843	-0.0028126	0.42379	-0.00065371	0.73702	-0.014207	1.0762	-0.00079822	0.84613	-0.002171	0.6165	-0.0012507	0.45719	-0.00071858	0.56452	-6.0497E-06	0.85787	-0.0027151	0.62759	-0.0014049	0.46899	-0.00058391	0.37212	-0.00020427	0.31214	-0.00013951	0.72288	-0.010566	1.0904	-0.00071734	0.87785	-0.0025334	0.62395	-0.0010086	0.47153	-0.00059555	0.35698	-0.0004815	1.1134	-0.0036732	1.0322	-0.00022648	0.81614	-0.0035749	0.63752	-0.0019858	0.44619	-0.00057429	0.34446	-0.00048044	1.1039	-0.00032628	0.868	-0.00014235	0.97918	-0.00016605	0.72125	-0.00013013	0.83105	-3.541E-06	0.82687	-5.1805E-05	0.36051	-0.0001642	0.27583	-0.0001012	0.19453	-8.8254E-05	0.11929	-6.1224E-05	0.068699	-1.642E-05	0.36421	0.00018789	0.28071	-9.8994E-05	0.19418	-0.00010104	0.11822	-5.8178E-05	0.07277	-6.1077E-05	1.09	-0.00070652	0.87456	-0.0025276	0.61345	-0.0013432	0.47036	-0.00086222	0.56199	-7.8828E-06
O9	33500	3.95	NAN	NAN	NAN	NAN	NAN	NAN	1.0687	-0.00079226	0.92668	-0.0023002	0.72799	-0.0015534	0.59152	-0.0025133	0.43144	-0.00061769	1.082	-0.00090592	0.93313	-0.0023423	0.72778	-0.0015665	0.58667	-0.0028251	0.42357	-0.00065337	NAN	NAN	1.0745	-0.00079841	0.84401	-0.0021514	0.61553	-0.0012458	0.45689	-0.00071657	0.56452	-6.1749E-06	0.85511	-0.0026826	0.62662	-0.001402	0.46867	-0.00058347	0.3719	-0.0002049	NAN	NAN	0.71368	-0.010294	1.0892	-0.00071723	0.87508	-0.0024994	0.62318	-0.0010035	0.47122	-0.00059529	NAN	NAN	1.1169	-0.0047108	1.0311	-0.00022715	0.81335	-0.0035452	0.63624	-0.0019799	0.44598	-0.0005725	NAN	NAN	1.1036	-0.00032282	0.86788	-0.00014228	0.97887	-0.00016546	0.72119	-0.00012964	0.83114	-3.6095E-06	0.82683	-5.2502E-05	0.36031	-0.00016388	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0896	-0.00077073	0.87201	-0.0025096	0.61241	-0.0013374	0.46996	-0.00086001	0.56194	-7.9699E-06
B0	31480	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0683	-0.0007901	0.9265	-0.0022996	0.72785	-0.0015514	0.59172	-0.0025186	0.43137	-0.00061782	1.0815	-0.00090583	0.93294	-0.0023418	0.72764	-0.0015644	0.58686	-0.0028313	0.4235	-0.00065302	NAN	NAN	1.074	-0.00079658	0.84389	-0.0021503	0.6157	-0.0012475	0.45681	-0.00071741	0.56452	-6.197E-06	0.85495	-0.0026806	0.62675	-0.001402	0.46866	-0.00058349	0.37193	-0.00020496	NAN	NAN	0.71332	-0.010275	1.0889	-0.00071734	0.87492	-0.0024968	0.62334	-0.0010043	0.4712	-0.00059545	NAN	NAN	1.1172	-0.0048379	1.031	-0.00022736	0.81308	-0.0035457	0.63633	-0.0019784	0.4459	-0.0005731	NAN	NAN	1.1035	-0.00032384	0.86788	-0.00014202	0.97884	-0.00016531	0.72118	-0.00012984	0.83115	-3.6239E-06	0.82682	-5.2651E-05	0.36033	-0.00016411	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0894	-0.00077871	0.87186	-0.0025081	0.61258	-0.0013395	0.4699	-0.00086087	0.56193	-7.9903E-06
B1	26490	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0668	-0.00078557	0.92567	-0.0022975	0.72743	-0.0015526	0.59135	-0.0025294	0.4312	-0.00061836	1.0801	-0.00090708	0.93206	-0.0023406	0.72722	-0.0015656	0.58644	-0.0028448	0.42331	-0.00065301	NAN	NAN	1.0726	-0.00079279	0.84331	-0.0021447	0.61555	-0.001248	0.45662	-0.00071742	0.56453	-6.2409E-06	0.85415	-0.0026702	0.62655	-0.001401	0.46852	-0.00058338	0.37183	-0.00020524	NAN	NAN	0.71014	-0.01018	1.0879	-0.00071864	0.8741	-0.0024838	0.62324	-0.0010039	0.47105	-0.00059554	NAN	NAN	1.119	-0.0054516	1.0305	-0.0002267	0.8121	-0.0035426	0.63596	-0.0019743	0.44575	-0.00057297	NAN	NAN	1.1032	-0.00032452	0.86787	-0.00014118	0.97871	-0.00016485	0.72115	-0.00012995	0.83119	-3.654E-06	0.8268	-5.2933E-05	0.36024	-0.00016404	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0888	-0.00082023	0.87112	-0.002501	0.61241	-0.0013401	0.46968	-0.00086087	0.56192	-8.0265E-06
B2	23010	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0655	-0.00078361	0.92507	-0.002292	0.72719	-0.001554	0.59104	-0.0025356	0.43109	-0.00061879	1.0788	-0.0009102	0.9314	-0.0023351	0.72698	-0.001567	0.58608	-0.0028527	0.42319	-0.00065314	NAN	NAN	1.0714	-0.00079147	0.84301	-0.0021427	0.6154	-0.0012477	0.45651	-0.00071729	0.56453	-6.2806E-06	0.85371	-0.0026647	0.62637	-0.0014003	0.46842	-0.00058334	0.37175	-0.00020551	NAN	NAN	0.70816	-0.010126	1.0871	-0.00072122	0.8736	-0.0024749	0.62313	-0.001003	0.47096	-0.00059562	NAN	NAN	1.1207	-0.0060086	1.0299	-0.00022589	0.81159	-0.0035421	0.63568	-0.001972	0.44565	-0.00057278	NAN	NAN	1.103	-0.00032442	0.86787	-0.00014049	0.97858	-0.00016417	0.72113	-0.00012996	0.83122	-3.683E-06	0.82678	-5.3239E-05	0.36016	-0.00016394	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0884	-0.00085989	0.87072	-0.0024974	0.61224	-0.0013398	0.46953	-0.00086076	0.5619	-8.0556E-06
B3	19320	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0632	-0.00077695	0.9241	-0.0022859	0.72678	-0.0015576	0.59041	-0.002547	0.43087	-0.00061982	1.0766	-0.00091307	0.93035	-0.0023292	0.72656	-0.0015707	0.58537	-0.0028677	0.42293	-0.00065347	NAN	NAN	1.0692	-0.00078648	0.84242	-0.0021378	0.61508	-0.0012468	0.45628	-0.00071725	0.56452	-6.3263E-06	0.85289	-0.0026542	0.62601	-0.0013987	0.46824	-0.00058324	0.37159	-0.00020583	NAN	NAN	0.70442	-0.010022	1.0856	-0.00072534	0.87272	-0.0024605	0.6229	-0.0010016	0.47078	-0.00059576	NAN	NAN	1.1242	-0.0071112	1.0289	-0.00022341	0.81062	-0.0035399	0.63511	-0.0019673	0.44547	-0.00057272	NAN	NAN	1.1027	-0.00032396	0.86785	-0.00013959	0.97841	-0.00016328	0.72109	-0.00013001	0.83126	-3.7249E-06	0.82675	-5.3726E-05	0.36002	-0.00016368	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0878	-0.00094178	0.86997	-0.0024906	0.61189	-0.001339	0.46926	-0.00086063	0.56188	-8.0821E-06
B5	15420	4.10	NAN	NAN	NAN	NAN	NAN	NAN	1.0598	-0.0007608	0.92269	-0.0022805	0.72621	-0.0015621	0.58961	-0.002562	0.43059	-0.00062141	1.0731	-0.00091074	0.92884	-0.0023244	0.726	-0.0015751	0.58446	-0.0028874	0.42261	-0.00065422	NAN	NAN	1.0659	-0.00077335	0.84146	-0.0021275	0.61469	-0.001246	0.456	-0.00071717	0.56452	-6.4068E-06	0.85161	-0.0026367	0.62556	-0.0013968	0.46803	-0.0005831	0.37137	-0.00020621	NAN	NAN	0.69922	-0.009864	1.0832	-0.00072905	0.87136	-0.0024384	0.62261	-0.001	0.47056	-0.00059587	NAN	NAN	1.1297	-0.0089487	1.0275	-0.00021906	0.80912	-0.0035313	0.6344	-0.0019611	0.44525	-0.00057264	NAN	NAN	1.1023	-0.00032321	0.86781	-0.00013865	0.97821	-0.00016237	0.72103	-0.00013001	0.83133	-3.788E-06	0.82669	-5.4446E-05	0.35982	-0.00016323	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0868	-0.0010881	0.86875	-0.0024781	0.61146	-0.0013383	0.46893	-0.00086038	0.56183	-8.1297E-06
B6	14190	4.09	NAN	NAN	NAN	NAN	NAN	NAN	1.0584	-0.00075222	0.92228	-0.0022789	0.72605	-0.0015632	0.58939	-0.0025666	0.43051	-0.00062205	1.0717	-0.00090756	0.92839	-0.0023229	0.72583	-0.0015763	0.5842	-0.0028937	0.42251	-0.00065468	NAN	NAN	1.0646	-0.00076618	0.84117	-0.0021243	0.61458	-0.0012458	0.45593	-0.00071708	0.56451	-6.4362E-06	0.85123	-0.0026315	0.62544	-0.0013963	0.46797	-0.00058306	0.37128	-0.00020635	NAN	NAN	0.69775	-0.0098176	1.0823	-0.00072987	0.87096	-0.0024319	0.62254	-0.00099953	0.4705	-0.0005959	NAN	NAN	1.1317	-0.0096591	1.027	-0.00021704	0.80867	-0.0035283	0.63421	-0.0019594	0.44519	-0.00057255	NAN	NAN	1.1021	-0.0003231	0.8678	-0.00013837	0.97816	-0.00016207	0.72102	-0.00012999	0.83135	-3.8086E-06	0.82667	-5.4679E-05	0.35974	-0.00016302	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0864	-0.0011478	0.86839	-0.0024742	0.61135	-0.0013381	0.46884	-0.00086026	0.56182	-8.1476E-06
B7	12790	4.07	NAN	NAN	NAN	NAN	NAN	NAN	1.0546	-0.00072395	0.92122	-0.0022733	0.72571	-0.0015651	0.58891	-0.0025782	0.43031	-0.00062377	1.0677	-0.00089403	0.92724	-0.0023174	0.72549	-0.0015781	0.58365	-0.0029097	0.42226	-0.00065601	NAN	NAN	1.0609	-0.00074216	0.84047	-0.0021167	0.61438	-0.0012458	0.45577	-0.00071689	0.56451	-6.5292E-06	0.85031	-0.0026188	0.62521	-0.0013955	0.46784	-0.00058297	0.37103	-0.00020678	NAN	NAN	0.69447	-0.0097119	1.0795	-0.00073114	0.86997	-0.0024154	0.62242	-0.00099845	0.47037	-0.00059596	NAN	NAN	1.1374	-0.011796	1.0257	-0.000211	0.80762	-0.0035193	0.63383	-0.0019563	0.44506	-0.0005723	NAN	NAN	1.1016	-0.00032297	0.86777	-0.00013753	0.97799	-0.00016116	0.72098	-0.00012994	0.83142	-3.8703E-06	0.82662	-5.5421E-05	0.35952	-0.00016244	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0853	-0.001341	0.86751	-0.0024648	0.61112	-0.0013382	0.46864	-0.00086005	0.56178	-8.2069E-06
B8	11510	4.07	0.20047	-0.00018441	0.11722	-4.8132E-05	0.071047	-1.3137E-05	1.0536	-0.00071801	0.92082	-0.0022734	0.72555	-0.0015665	0.58863	-0.0025835	0.43054	-0.00062455	1.0667	-0.00089325	0.92682	-0.0023177	0.72532	-0.0015796	0.58333	-0.0029167	0.42248	-0.00065933	0.69055	-0.012735	1.0599	-0.00073807	0.84011	-0.0021133	0.61424	-0.0012452	0.45605	-0.00071042	0.56447	-6.5364E-06	0.84987	-0.0026138	0.62506	-0.0013948	0.46778	-0.00058253	0.37064	-0.00020689	0.31162	-0.0001407	0.69279	-0.0096561	1.0788	-0.00073565	0.86954	-0.0024099	0.62231	-0.00099778	0.47033	-0.0005951	0.35416	-0.00049538	1.1397	-0.012582	1.0252	-0.00020771	0.80708	-0.0035146	0.63361	-0.0019545	0.44536	-0.00056735	0.3418	-0.0004869	1.1017	-0.0003212	0.86778	-0.00013736	0.97794	-0.00016088	0.72097	-0.00012992	0.83135	-4.1478E-06	0.82653	-5.5405E-05	0.35916	-0.00016017	0.27554	-0.00010107	0.19441	-8.8363E-05	0.11892	-6.1175E-05	0.068647	-1.6435E-05	0.36297	0.00033697	0.28043	-9.9852E-05	0.194	-0.00010088	0.11785	-5.7873E-05	0.072511	-5.2091E-05	1.0852	-0.0014207	0.86709	-0.0024616	0.61097	-0.0013377	0.46879	-0.00085422	0.56174	-8.1361E-06
