# ra_1	dec_1	r	rErr	i	iErr	ha	haErr	mergedClass_1	errBits	l	b	RA_2	DEC_2	L	B	MERGEDCLASS_2	J	JERR	H	HERR	K	KERR	Separation
#71.71345 45.19067 15.15112 0.00178 14.53683 0.00308 14.86707 0.00330 -1.00000 0.00000 160.02859 -0.05216 1.25164 0.78873 160.02862 -0.05213 -1.00000 13.73026 0.00137 13.42028 0.00124 13.31220 0.00254 0.16115
71.71291 45.20898 19.30678 0.03447 18.40402 0.04091 19.00051 0.06130 -1.00000 0.00000 160.01440 -0.04058 1.25163 0.78905 160.01442 -0.04054 -1.00000 17.03893 0.01243 16.51108 0.01363 16.31504 0.02932 0.18393
71.71203 45.17828 17.36975 0.00711 16.61226 0.01036 17.10912 0.01324 -1.00000 0.00000 160.03738 -0.06095 1.25161 0.78851 160.03741 -0.06092 -1.00000 15.54538 0.00404 15.18034 0.00443 15.00875 0.00944 0.16099
71.71076 45.20014 15.34154 0.00197 14.62742 0.00323 14.99174 0.00352 -1.00000 0.00000 160.02015 -0.04747 1.25159 0.78889 160.02017 -0.04744 -1.00000 13.65363 0.00131 13.19879 0.00108 13.06396 0.00215 0.14600
71.70974 45.18642 17.87001 0.01039 17.06184 0.01421 17.59488 0.01909 -1.00000 0.00000 160.03013 -0.05690 1.25157 0.78865 160.03015 -0.05688 -2.00000 15.97104 0.00545 15.55493 0.00602 15.39339 0.01308 0.13658
71.70899 45.17501 19.57615 0.04367 18.69945 0.05257 19.15327 0.07005 -1.00000 0.00000 160.03848 -0.06470 1.25156 0.78845 160.03850 -0.06467 -1.00000 17.31735 0.01580 16.80686 0.01781 16.70033 0.04169 0.15210
71.70811 45.17083 17.12139 0.00594 16.27954 0.00832 16.74025 0.01018 -1.00000 0.00000 160.04127 -0.06788 1.25154 0.78838 160.04129 -0.06785 -1.00000 15.06938 0.00296 14.55744 0.00273 14.38892 0.00569 0.17462
71.70852 45.19046 17.93293 0.01092 16.86402 0.01234 17.44567 0.01702 -1.00000 0.00000 160.02650 -0.05494 1.25155 0.78872 160.02653 -0.05491 -1.00000 15.44077 0.00376 14.71947 0.00308 14.51117 0.00625 0.16808
71.70752 45.18488 19.20128 0.03144 18.31327 0.03792 18.87583 0.05502 -1.00000 0.00000 160.03030 -0.05910 1.25153 0.78862 160.03032 -0.05907 -1.00000 16.96345 0.01175 16.39072 0.01232 16.17651 0.02602 0.14780
71.70581 45.16650 18.86543 0.02354 17.91205 0.02728 18.46835 0.03884 -1.00000 0.00000 160.04351 -0.07192 1.25150 0.78830 160.04354 -0.07190 -1.00000 16.45698 0.00788 15.88063 0.00795 15.67298 0.01674 0.14146
71.70596 45.19317 19.68697 0.04817 18.71241 0.05315 19.43714 0.08996 -1.00000 0.00000 160.02327 -0.05456 1.25151 0.78877 160.02329 -0.05454 -1.00000 17.35343 0.01622 16.78563 0.01744 16.54037 0.03597 0.15245
71.70591 45.20060 18.81586 0.02256 17.84683 0.02589 18.49527 0.03973 -1.00000 0.00000 160.01759 -0.04977 1.25151 0.78890 160.01761 -0.04975 -1.00000 16.50785 0.00814 16.00535 0.00880 15.81694 0.01888 0.13605
71.70473 45.18398 18.75385 0.02141 17.92232 0.02751 18.40067 0.03669 -1.00000 0.00000 160.02971 -0.06117 1.25148 0.78861 160.02972 -0.06115 -1.00000 16.62529 0.00896 16.08822 0.00947 15.90171 0.02040 0.11176
71.70332 45.16743 17.33639 0.00694 16.57664 0.01012 16.99625 0.01220 -1.00000 0.00000 160.04167 -0.07266 1.25146 0.78832 160.04169 -0.07264 -1.00000 15.44373 0.00378 15.01299 0.00389 14.83937 0.00821 0.14186
71.70310 45.18929 19.11318 0.02912 18.30269 0.03758 18.76645 0.05007 -1.00000 0.00000 160.02492 -0.05861 1.25146 0.78870 160.02494 -0.05858 -1.00000 16.97301 0.01184 16.42845 0.01273 16.26214 0.02806 0.13365
71.70291 45.20366 17.82058 0.01000 16.78215 0.01165 17.42461 0.01675 -1.00000 0.00000 160.01389 -0.04940 1.25145 0.78895 160.01391 -0.04937 -1.00000 15.24685 0.00330 14.61943 0.00285 14.37401 0.00559 0.13862
71.70247 45.20200 19.60457 0.04478 18.63697 0.04983 19.15017 0.06986 -1.00000 0.00000 160.01495 -0.05071 1.25145 0.78892 160.01497 -0.05068 -1.00000 17.32818 0.01585 16.77375 0.01724 16.48897 0.03431 0.15213
71.70200 45.19293 19.68973 0.04829 18.51161 0.04480 19.30901 0.08033 -1.00000 0.00000 160.02165 -0.05684 1.25144 0.78877 160.02166 -0.05684 -1.00000 16.82546 0.01050 16.13861 0.00989 15.87140 0.01983 0.08506
71.70172 45.18998 19.42862 0.03835 18.50335 0.04448 19.00812 0.06171 -1.00000 0.00000 160.02377 -0.05890 1.25143 0.78871 160.02378 -0.05889 -1.00000 17.21582 0.01447 16.74448 0.01683 16.59989 0.03798 0.09561
71.70161 45.18551 17.85149 0.01024 17.07058 0.01430 17.61428 0.01939 -1.00000 0.00000 160.02712 -0.06186 1.25143 0.78864 160.02714 -0.06184 -1.00000 15.93700 0.00532 15.55975 0.00605 15.38519 0.01300 0.13168
71.69907 45.17291 16.55900 0.00406 15.78322 0.00612 16.27861 0.00748 -1.00000 0.00000 160.03555 -0.07138 1.25139 0.78842 160.03557 -0.07136 -1.00000 14.65663 0.00230 14.29569 0.00225 14.11305 0.00458 0.12475
71.69894 45.19387 18.75936 0.02151 17.75621 0.02409 18.29467 0.03358 -1.00000 0.00000 160.01954 -0.05787 1.25138 0.78878 160.01955 -0.05785 -1.00000 16.21631 0.00653 15.54391 0.00597 15.30413 0.01211 0.11317
