# ra_1	dec_1	r	rErr	i	iErr	ha	haErr	mergedClass_1	errBits	l	b	RA_2	DEC_2	L	B	MERGEDCLASS_2	J	JERR	H	HERR	K	KERR	Separation
72.10371 44.91498 18.80525 0.01358 18.02516 0.02478 18.40823 0.02629 -1.00000 0.00000 160.41715 -0.01985 1.25845 0.78392 160.41706 -0.01986 -1.00000 16.89378 0.01278 16.39310 0.01319 16.16480 0.03016 0.27576
72.09285 44.84971 19.36013 0.02049 18.50671 0.03596 19.10060 0.04480 -1.00000 0.00000 160.46211 -0.06779 1.25826 0.78278 160.46210 -0.06779 -1.00000 17.20717 0.01682 16.77710 0.01867 16.63461 0.04651 0.02437
72.09316 44.86903 16.14511 0.00282 15.51191 0.00512 15.80239 0.00535 -1.00000 0.00000 160.44747 -0.05517 1.25826 0.78311 160.44745 -0.05518 -1.00000 14.63239 0.00248 14.22358 0.00223 14.10086 0.00520 0.03151
72.09019 44.85436 13.82546 0.00093 13.22823 0.00167 13.49781 0.00175 -1.00000 0.00000 160.45733 -0.06623 1.25821 0.78286 160.45731 -0.06624 -1.00000 12.28809 0.00071 12.02190 0.00057 11.90341 0.00116 0.04255
72.08737 44.85581 19.43492 0.02171 18.56687 0.03773 18.99876 0.04131 -1.00000 0.00000 160.45493 -0.06683 1.25816 0.78288 160.45491 -0.06683 -1.00000 17.20100 0.01671 16.71413 0.01761 16.54484 0.04273 0.05058
72.08331 44.85707 19.37501 0.02073 18.44398 0.03422 18.86929 0.03731 -1.00000 0.00000 160.45212 -0.06821 1.25809 0.78290 160.45210 -0.06821 -1.00000 16.88144 0.01278 16.25607 0.01174 16.12949 0.02938 0.04936
72.08078 44.84277 17.87081 0.00731 17.13906 0.01327 17.47133 0.01381 -1.00000 0.00000 160.46190 -0.07880 1.25805 0.78265 160.46188 -0.07879 -1.00000 15.98904 0.00631 15.59942 0.00669 15.41795 0.01571 0.06352
72.07755 44.85692 19.81919 0.02943 18.32695 0.03122 19.10965 0.04512 -1.00000 0.00000 160.44960 -0.07143 1.25799 0.78290 160.44957 -0.07143 -1.00000 16.51148 0.00945 15.88618 0.00851 15.53841 0.01737 0.06239
72.07441 44.85600 18.47173 0.01077 17.52523 0.01725 18.03044 0.02006 -1.00000 0.00000 160.44888 -0.07373 1.25794 0.78289 160.44885 -0.07373 -1.00000 16.12063 0.00696 15.51818 0.00622 15.31071 0.01423 0.07334
72.07378 44.84732 18.00724 0.00795 17.17022 0.01355 17.59766 0.01499 -1.00000 0.00000 160.45522 -0.07967 1.25792 0.78273 160.45520 -0.07966 -1.00000 15.82431 0.00558 15.42770 0.00578 15.27272 0.01380 0.07032
72.07307 44.85856 19.43573 0.02172 18.61717 0.03928 19.08284 0.04416 -1.00000 0.00000 160.44630 -0.07281 1.25791 0.78293 160.44628 -0.07280 -1.00000 17.34405 0.01889 16.85928 0.02003 16.73968 0.05073 0.06235
72.06790 44.87011 18.08598 0.00836 17.22496 0.01405 17.67532 0.01577 -1.00000 0.00000 160.43511 -0.06816 1.25782 0.78313 160.43507 -0.06817 -1.00000 15.94959 0.00610 15.48182 0.00602 15.31541 0.01422 0.10241
72.06156 44.86334 19.41147 0.02132 18.52344 0.03644 18.90142 0.03826 -1.00000 0.00000 160.43739 -0.07596 1.25771 0.78301 160.43737 -0.07597 -1.00000 17.25411 0.01750 16.75966 0.01830 16.61875 0.04530 0.04051
72.06188 44.87418 18.71471 0.01274 17.82054 0.02130 18.35375 0.02526 -1.00000 0.00000 160.42925 -0.06880 1.25772 0.78320 160.42922 -0.06880 -1.00000 16.53789 0.00964 16.11959 0.01039 15.93545 0.02450 0.08394
72.05956 44.86043 17.27249 0.00513 16.48275 0.00881 16.96190 0.01010 -1.00000 0.00000 160.43870 -0.07892 1.25768 0.78296 160.43867 -0.07892 -1.00000 15.21710 0.00362 14.84532 0.00359 14.65279 0.00809 0.09728
72.05498 44.86597 19.88747 0.03111 18.75761 0.04401 19.41295 0.05774 -1.00000 0.00000 160.43237 -0.07783 1.25760 0.78306 160.43232 -0.07785 -1.00000 17.05115 0.01474 16.28762 0.01205 16.08881 0.02809 0.14097
72.05459 44.86788 18.28148 0.00949 17.50905 0.01705 17.86295 0.01788 -1.00000 0.00000 160.43073 -0.07681 1.25759 0.78309 160.43070 -0.07681 -1.00000 16.25956 0.00775 15.76244 0.00764 15.57860 0.01786 0.09140
72.05369 44.87971 14.46695 0.00125 13.58935 0.00198 14.02362 0.00224 -1.00000 0.00000 160.42128 -0.06967 1.25757 0.78330 160.42125 -0.06967 -1.00000 12.17449 0.00067 11.58909 0.00045 11.39056 0.00087 0.07502
72.05062 44.86282 18.52152 0.01114 17.74751 0.02020 18.11913 0.02135 -1.00000 0.00000 160.43279 -0.08222 1.25752 0.78300 160.43275 -0.08222 -1.00000 16.52447 0.00957 16.13265 0.01053 15.93712 0.02452 0.09833
72.04716 44.86460 19.61784 0.02506 18.79066 0.04521 19.17968 0.04774 -1.00000 0.00000 160.42985 -0.08295 1.25746 0.78304 160.42981 -0.08294 -2.00000 17.48197 0.02131 16.97393 0.02217 16.77237 0.05190 0.10271
72.04473 44.87907 19.02854 0.01597 18.15773 0.02740 18.53935 0.02898 -1.00000 0.00000 160.41767 -0.07494 1.25742 0.78329 160.41764 -0.07494 -1.00000 16.96760 0.01374 16.47615 0.01422 16.33187 0.03481 0.09497
72.03732 44.87254 15.29888 0.00186 14.71048 0.00341 14.96818 0.00352 -1.00000 0.00000 160.41928 -0.08316 1.25729 0.78317 160.41925 -0.08316 -1.00000 13.82260 0.00155 13.48381 0.00133 13.40614 0.00304 0.07497
72.18835 44.85813 16.28607 0.00307 15.73238 0.00576 16.05132 0.00596 -1.00000 0.00000 160.49925 -0.01057 1.25993 0.78292 160.49933 -0.01057 -1.00000 14.95898 0.00287 14.74952 0.00321 14.62619 0.00722 0.29337
72.17979 44.87839 18.31277 0.00984 17.56691 0.01780 17.93166 0.01822 -1.00000 0.00000 160.47984 -0.00217 1.25978 0.78327 160.47990 -0.00218 -1.00000 16.43940 0.00825 16.01352 0.00911 15.86968 0.02093 0.24467
